Anderson Avenue,Anderson Avenue Trolley Station,39.947826,-75.312636,-1,[],-1,15,[-1],$
Aronimink,Aronimink Trolley Station,39.949203,-75.306033,-1,[],-1,15,[-1],$
School Lane,School Lane Trolley Station,39.94859,-75.29987,-1,[],-1,15,[-1],$
Huey Avenue,Huey Avenue Trolley Station,39.94741,-75.297688,-1,[],-1,15,[-1],$
Drexel Hill Junction,Drexel Hill Junction Trolley Station,39.947012,-75.292575,-1,[],-1,15,[-1],$
Irvington Road,Irvington Road Trolley Station,39.948668,-75.289148,-1,[],-1,15,[-1],$
Drexel Park,Drexel Park Trolley Station,39.949709,-75.286949,-1,[],-1,15,[-1],$
Lansdowne Avenue,Lansdowne Avenue Trolley Station,39.951614,-75.282328,-1,[],-1,15,[-1],$
Congress Avenue,Congress Avenue Trolley Station,39.952976,-75.279078,-1,[],-1,15,[-1],$
Beverly Boulevard,Beverly Boulevard Trolley Station,39.955326,-75.274066,-1,[],-1,15,[-1],$
Hilltop Road,Hilltop Road Trolley Station,39.955967,-75.272718,-1,[],-1,15,[-1],$
Avon Road,Avon Road Trolley Station,39.95772,-75.268888,-1,[],-1,15,[-1],$
Walnut Street,Walnut Street Trolley Station,39.958921,-75.266263,-1,[],-1,15,[-1],$
Fairfield Avenue,Fairfield Avenue Trolley Station,39.960864,-75.263613,-1,[],-1,15,[-1],$
69th Street Transportation Center,69th Street Transportation Center Trolley Station,39.962161,-75.259689,-1,[],-1,15,[-1],$
15th Street,15th Street Trolley Station,39.952672,-75.165345,-1,[],-1,15,[-1],$
30th Street,30th Street Trolley Station,39.954894,-75.183169,-1,[],-1,15,[-1],$
37th Street,37th Street Trolley Station,39.951048,-75.197306,-1,[],-1,15,[-1],$
40th Street Portal,40th Street Portal Trolley Station,39.949595,-75.203333,-1,[],-1,15,[-1],$
22nd Street,22nd Street Trolley Station,39.954051,-75.176571,-1,[],-1,15,[-1],$